case            |    A ms/h |    B ms/h |    delta | B wins
----------------|-----------|-----------|----------|-------
floor-solo      |      0.75 |      0.75 | +0.4%      | 2/4
floor-party     |      3.65 |      3.70 | +1.3%      | 2/4
starter-solo    |      1.48 |      1.51 | +1.9%      | 1/4
mid-solo        |      2.89 |      2.83 | -2.3%      | 3/4
melee-solo      |      7.16 |      6.67 | -6.9%      | 4/4
ranged-solo     |      7.67 |      7.40 | -3.5%      | 4/4
magic-solo      |      8.16 |      7.65 | -6.3%      | 4/4
tank-solo       |      7.10 |      6.65 | -6.3%      | 4/4
healer-solo     |      4.48 |      4.34 | -3.2%      | 3/4
buffstack-solo  |      7.17 |      6.69 | -6.7%      | 4/4
selfbuff-solo   |      7.86 |      7.19 | -8.5%      | 4/4
melee-swarm     |      9.46 |      9.29 | -1.9%      | 4/4
melee-abyss     |      7.47 |      7.21 | -3.5%      | 3/4
magic-abyss-t3  |      9.20 |      8.85 | -3.8%      | 4/4
party2-eyes     |     14.46 |     14.10 | -2.5%      | 4/4
party3-swarm    |     27.81 |     25.63 | -7.9%      | 4/4
party3-sorcerer |     31.73 |     28.82 | -9.2%      | 4/4
dungeon-den-200 |     73.28 |     62.50 | -14.7%     | 4/4
dungeon-den-600 |     73.52 |     65.53 | -10.9%     | 4/4
dungeon-circus  |     75.48 |     64.98 | -13.9%     | 4/4
dungeon-fort-t2 |     80.73 |     70.02 | -13.3%     | 4/4
dungeon-pirate  |     75.94 |     68.77 | -9.4%      | 4/4
geometric mean: -6.07%
