case            |    A ms/h |    B ms/h |    delta | B wins
----------------|-----------|-----------|----------|-------
floor-solo      |      0.73 |      0.73 | -0.8%      | 3/4
floor-party     |      3.62 |      3.65 | +0.7%      | 2/4
starter-solo    |      1.39 |      1.35 | -2.4%      | 3/4
mid-solo        |      2.86 |      2.74 | -4.2%      | 4/4
melee-solo      |      6.22 |      6.08 | -2.2%      | 3/4
ranged-solo     |      6.95 |      6.60 | -5.0%      | 4/4
magic-solo      |      6.83 |      6.57 | -3.8%      | 3/4
tank-solo       |      6.10 |      5.95 | -2.5%      | 3/4
healer-solo     |      3.98 |      3.82 | -4.0%      | 4/4
buffstack-solo  |      6.13 |      5.96 | -2.9%      | 4/4
selfbuff-solo   |      6.53 |      6.38 | -2.2%      | 3/4
melee-swarm     |      8.88 |      8.68 | -2.3%      | 3/4
melee-abyss     |      6.70 |      6.53 | -2.5%      | 3/4
magic-abyss-t3  |      8.33 |      8.26 | -0.8%      | 3/4
party2-eyes     |     12.88 |     12.33 | -4.2%      | 4/4
party3-swarm    |     23.12 |     21.82 | -5.7%      | 3/4
party3-sorcerer |     26.31 |     24.49 | -6.9%      | 4/4
dungeon-den-200 |     53.80 |     48.59 | -9.7%      | 4/4
dungeon-den-600 |     55.11 |     52.44 | -4.9%      | 4/4
dungeon-circus  |     55.91 |     51.67 | -7.6%      | 4/4
dungeon-fort-t2 |     59.15 |     53.42 | -9.7%      | 4/4
dungeon-pirate  |     58.41 |     54.04 | -7.5%      | 4/4
geometric mean: -4.17%
